<Demands>
Name	Source	Destination	ServiceClass	Intervals	Var
''	AM_BA_BB1	AM_DC_SOUTH_ER8	Default	1	1.79930272467207
''	AM_BA_BB1	AM_NY_PR1	Default	1	1.11562131019534
''	AM_BOS_ER1	EU_LON_ER5	Default	2	0.926367725000397
''	AM_BRA_BB2	AM_NYC_ER2	Default	2	1.01942506869644
''	AM_CHI_ER1	AS{65100}	Default	2	1.36027832290036
''	AM_CHI_ER2	AM_DC_EAST_ER4	Default	2	2.20707583678004
''	AM_CHI_ER2	AM_DC_NORTH_BB2	Default	3	2.20707583678004
''	AM_CHI_ER2	ME_RIY_ER1	Default	1	1.85788309080112
''	AM_CHI_ER3	AF_CAI_BB2	Default	2	1.85788309080112
''	AM_CHI_ER3	EU_ROM_ER1	Default	2	1.70920971360133
''	AM_DC_EAST_BB1	AP_SYD_ER1	Default	1	1.76387633299743
''	AM_DC_EAST_BB2	AM_DC_WEST_ER1	Default	2	0.593351599247043
''	AM_DC_EAST_BB2	AM_DC_WEST_ER11	Default	3	0.593351599247043
''	AM_DC_EAST_ER1	AM_MEX_BB2	Default	1	1.69974260954505
''	AM_DC_EAST_ER1	AM_MEX_ER2	Default	2	1.69974260954505
''	AM_DC_NORTH_ER1	EU_PAR_ER5	Default	1	0.725324311427329
''	AM_DC_NORTH_ER1	EU_ROM_ER1	Default	2	0.725324311427329
''	AM_DC_NORTH_ER10	AM_NYC2_ER3	Default	1	1.90406762469868
''	AM_DC_NORTH_ER10	AM_NY_PR1	Default	3	1.90406762469868
''	AM_DC_NORTH_ER10	AM_RIO_BB1	Default	4	1.90406762469868
''	AM_DC_NORTH_ER3	AM_DC_EAST_ER2	Default	1	2.19455729326994
''	AM_DC_NORTH_ER3	AM_DC_NORTH_ER10	Default	3	2.19455729326994
''	AM_DC_NORTH_ER3	AM_DC_NORTH_ER2	Default	4	2.19455729326994
''	AM_DC_NORTH_ER5	EU_LON_ER4	Default	2	2.34026961301211
''	AM_DC_NORTH_ER5	EU_LON_ER6	Default	3	2.34026961301211
''	AM_DC_SOUTH_BB2	AM_DC_WEST_ER9	Default	2	1.11486749022032
''	AM_DC_SOUTH_BB2	AM_HST_BB2	Default	3	1.11486749022032
''	AM_DC_SOUTH_BB2	AM_NYC2_ER2	Default	2	1.46927311172615
''	AM_DC_SOUTH_BB2	AM_NYC_BB1	Default	3	1.46927311172615
''	AM_DC_SOUTH_ER1	AM_MEX_BB2	Default	2	1.72910315500384
''	AM_DC_SOUTH_ER1	AM_MEX_ER2	Default	3	1.72910315500384
''	AM_DC_SOUTH_ER2	AM_NYC2_ER2	Default	2	2.36173041119394
''	AM_DC_SOUTH_ER5	AM_LA_ER3	Default	1	0.638719918162209
''	AM_DC_SOUTH_ER5	AM_MEX_ER3	Default	3	0.638719918162209
''	AM_DC_SOUTH_ER5	AM_MIA_BB2	Default	4	0.638719918162209
''	AM_DC_SOUTH_ER9	AP_BAN_ER3	Default	1	2.33994263648694
''	AM_DC_SOUTH_ER9	AP_BEI_ER4	Default	3	2.33994263648694
''	AM_DC_SOUTH_ER9	AP_HK_BB1	Default	4	2.33994263648694
''	AM_DC_WEST_ER10	EU_AMS_AMSIX_2	Default	2	0.57493808533512
''	AM_DC_WEST_ER10	EU_AMS_ER2	Default	3	0.57493808533512
''	AM_DC_WEST_ER2	ME_RIY_BB2	Default	1	2.25093483056993
''	AM_DC_WEST_ER3	AM_BOS_BB2	Default	3	2.25093483056993
''	AM_DC_WEST_ER3	AM_BOS_ER2	Default	4	2.25093483056993
''	AM_DC_WEST_ER3	ME_RIY_ER1	Default	1	1.6743933584759
''	AM_DC_WEST_ER6	AM_CHI_ER2	Default	1	1.75519300942695
''	AM_DC_WEST_ER6	AM_DC_EAST_BB2	Default	3	1.75519300942695
''	AM_DC_WEST_ER6	AM_DC_EAST_BB4	Default	4	1.75519300942695
''	AM_DC_WEST_ER6	AP_SYD_ER2	Default	2	1.42818327464423
''	AM_DC_WEST_ER6	AP_SYD_ER4	Default	3	1.42818327464423
''	AM_HST_BB1	AM_RIO_BB1	Default	1	1.76958208026474
''	AM_HST_ER2	EU_AMS_ER2	Default	1	1.83562858457287
''	AM_HST_ER2	EU_AMS_ER4	Default	2	1.83562858457287
''	AM_LA_BB1	EU_MAD_ER3	Default	1	0.899022477915175
''	AM_LA_BB2	AM_DC_EAST_BB1	Default	1	1.52086746227894
''	AM_LA_BB2	AM_MEX_BB2	Default	2	1.33842074844156
''	AM_LA_ER3	AF_JOH_ER3	Default	1	1.40896499032591
''	AM_LA_ER3	AM_BA_BB2	Default	2	1.40896499032591
''	AM_MEX_BB2	AM_BA_BB2	Default	2	1.01360488425612
''	AM_MEX_ER2	AM_HST_ER1	Default	1	1.91515864317557
