<Demands>
Name	Source	Destination	ServiceClass	Intervals	Var
''	AF_CAI_ER1	AM_DC_WEST_ER4	Default	4	1.61586212751729
''	AF_JOH_BB1	AM_BA_ER1	Default	2	0.665807365170693
''	AF_JOH_BB1	AM_SEA_PR1	Default	2	1.37481537577173
''	AF_JOH_BB2	AM_DCA_BB1	Default	1	2.18745064191901
''	AF_JOH_ER3	AM_BA_ER1	Default	4	1.82165548468477
''	AF_JOH_ER3	AM_DC_SOUTH_ER8	Default	1	0.577461700032998
''	AF_JOH_ER3	AM_LA_BB2	Default	1	2.44490964831763
''	AF_JOH_ER3	AM_SAN_BB1	Default	3	0.936404287387276
''	AF_JOH_ER3	EU_ROM_ER1	Default	2	1.19792052015271
''	AM_BA_BB1	AM_WAS_ER1	Default	3	2.29122409127082
''	AM_BA_BB2	AS{65090}	Default	3	2.29604863206879
''	AM_BA_BB2	EU_PAR_ER1	Default	1	2.3218280336781
''	AM_BRA_BB1	AM_NY_PR2	Default	2	1.06269872716396
''	AM_BRA_ER1	AP_HK_BB1	Default	1	0.783604702048208
''	AM_BRA_ER1	AP_TOK_ER6	Default	2	1.78276468727734
''	AM_CHI_BB2	AM_MIA_ER1	Default	3	1.75329545848457
''	AM_CHI_BB2	AP_SYD_ER2	Default	3	1.82675251764114
''	AM_CHI_ER2	AP_BAN_BB2	Default	3	1.92905868093305
''	AM_CHI_ER3	AM_DC_NORTH_ER6	Default	1	1.02127709017037
''	AM_CHI_ER3	AP_MEL_ER1	Default	3	1.21806490540551
''	AM_CHI_ER3	AS{65080}	Default	1	2.28133278188913
''	AM_DCA_BB1	AM_LA_BB2	Default	3	0.551090462457253
''	AM_DCA_BB2	AM_RIO_BB2	Default	3	0.514135301994472
''	AM_DCA_BB2	EU_AMS_ER3	Default	2	0.807593824959895
''	AM_DCA_ER1	AM_CHI_ER3	Default	3	2.38798615495654
''	AM_DCA_ER1	AM_WAS_ER1	Default	1	2.49733164127453
''	AM_DC_EAST_BB1	AM_CHI_ER3	Default	1	2.30000973948047
''	AM_DC_EAST_BB1	AP_TOK_BB3	Default	3	1.19666798919474
''	AM_DC_EAST_BB1	AS{65030}	Default	1	0.935075685698607
''	AM_DC_EAST_BB3	EU_LON_ER4	Default	1	0.696420848378722
''	AM_DC_EAST_BB4	AM_MIA_BB1	Default	2	2.15850749885618
''	AM_DC_EAST_BB4	AM_RIO_ER1	Default	1	1.3750352460395
''	AM_DC_EAST_BB4	AM_SEA_PR1	Default	2	2.33509748170218
''	AM_DC_EAST_ER1	AM_CHI_ER2	Default	2	0.846817226854924
''	AM_DC_EAST_ER1	AM_SEA_ER1	Default	1	1.73207130377432
''	AM_DC_EAST_ER2	AP_BEI_PR1	Default	1	1.60338066505291
''	AM_DC_EAST_ER3	AM_DC_NORTH_ER11	Default	3	1.85138466612479
''	AM_DC_EAST_ER4	AM_CHI_BB1	Default	1	2.07704458349656
